Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02005944,E02005948,64,0,0,0,17,0,1,29,1,14,2,0,Oxford,Oxford
E02005944,E02005949,197,0,0,1,38,0,1,46,10,59,42,0,Oxford,Oxford
E02005944,E02005950,73,0,0,0,24,0,2,32,3,5,7,0,Oxford,Oxford
E02005944,E02005952,240,0,0,0,18,0,6,151,16,42,3,4,Oxford,Oxford
E02005944,E02005953,14,0,0,0,1,0,1,11,0,0,1,0,Oxford,Oxford
E02005944,E02005954,113,0,0,0,15,1,1,69,8,12,7,0,Oxford,Oxford
E02005944,E02005955,51,0,0,0,4,0,2,36,2,5,2,0,Oxford,Oxford
E02005944,E02005956,55,0,0,0,8,1,3,34,3,2,4,0,Oxford,Oxford
E02005944,E02005957,15,0,0,0,7,0,0,5,0,1,2,0,Oxford,Oxford
E02005944,E02005979,28,0,0,0,10,0,0,12,3,1,2,0,Oxford,Oxford
E02005945,E02005940,24,0,0,0,5,0,1,14,0,3,1,0,Oxford,Oxford
E02005945,E02005941,59,0,0,0,12,0,0,28,4,12,3,0,Oxford,Oxford
E02005945,E02005942,62,0,0,0,12,0,0,26,8,15,1,0,Oxford,Oxford
E02005945,E02005943,21,0,0,0,2,0,0,6,2,4,7,0,Oxford,Oxford
E02005945,E02005944,13,0,0,0,2,0,0,2,0,4,5,0,Oxford,Oxford
E02005945,E02005945,1043,0,0,0,44,2,3,76,17,150,748,3,Oxford,Oxford
E02005945,E02005946,56,0,0,0,7,0,0,28,1,7,13,0,Oxford,Oxford
E02005945,E02005947,784,0,1,2,296,2,6,73,20,277,107,0,Oxford,Oxford
E02005945,E02005948,130,0,0,0,37,0,0,25,1,55,12,0,Oxford,Oxford
E02005945,E02005949,390,0,0,3,10,1,0,51,8,107,210,0,Oxford,Oxford
E02005945,E02005950,111,0,0,0,18,0,0,41,5,20,27,0,Oxford,Oxford
E02005945,E02005952,141,0,0,0,23,1,0,76,2,26,13,0,Oxford,Oxford
E02005945,E02005953,11,0,0,0,0,1,0,8,1,1,0,0,Oxford,Oxford
E02005945,E02005954,116,0,0,0,16,0,0,66,5,25,4,0,Oxford,Oxford
E02005945,E02005955,67,0,0,0,7,1,0,42,1,13,3,0,Oxford,Oxford
E02005945,E02005956,18,0,0,0,6,0,0,11,0,1,0,0,Oxford,Oxford
E02005945,E02005979,37,0,0,0,8,0,0,16,0,12,1,0,Oxford,Oxford
E02005946,E02005940,16,0,0,0,3,1,0,11,0,0,1,0,Oxford,Oxford
E02005946,E02005941,50,0,0,0,6,1,1,24,3,13,2,0,Oxford,Oxford
E02005946,E02005942,47,0,0,0,10,0,1,24,0,7,4,1,Oxford,Oxford
E02005946,E02005944,38,0,0,0,1,0,0,11,0,2,24,0,Oxford,Oxford
E02005946,E02005945,604,0,0,1,64,1,1,120,28,157,230,2,Oxford,Oxford
E02005946,E02005946,156,0,0,1,6,0,0,43,4,13,88,1,Oxford,Oxford
E02005946,E02005947,562,0,0,0,268,0,6,93,7,153,34,1,Oxford,Oxford
E02005946,E02005948,114,0,0,0,32,1,1,38,1,37,4,0,Oxford,Oxford
E02005946,E02005949,321,0,0,0,30,0,5,59,9,105,113,0,Oxford,Oxford
E02005946,E02005950,102,0,0,0,25,0,2,44,7,15,9,0,Oxford,Oxford
E02005946,E02005951,11,0,0,0,1,0,2,7,0,1,0,0,Oxford,Oxford
E02005946,E02005952,270,0,0,0,12,0,5,164,16,59,13,1,Oxford,Oxford
E02005946,E02005953,16,0,0,0,2,0,1,10,0,3,0,0,Oxford,Oxford
E02005946,E02005954,108,0,0,0,12,0,0,60,8,26,2,0,Oxford,Oxford
E02005946,E02005955,83,0,0,0,3,0,1,54,6,17,2,0,Oxford,Oxford
E02005946,E02005956,44,0,0,1,7,0,1,24,2,6,3,0,Oxford,Oxford
E02005946,E02005979,37,0,0,0,5,0,1,29,0,2,0,0,Oxford,Oxford
E02005947,E02005941,38,0,0,0,5,0,0,5,0,16,12,0,Oxford,Oxford
E02005947,E02005942,57,0,0,0,12,0,0,0,0,25,20,0,Oxford,Oxford
E02005947,E02005945,131,0,0,1,49,0,3,31,3,35,9,0,Oxford,Oxford
E02005947,E02005946,17,0,0,0,5,0,0,9,0,3,0,0,Oxford,Oxford
E02005947,E02005947,1225,0,1,8,44,1,1,32,7,347,781,3,Oxford,Oxford
E02005947,E02005948,142,0,0,1,4,0,0,5,0,28,104,0,Oxford,Oxford
E02005947,E02005949,83,0,1,1,22,0,0,12,0,30,17,0,Oxford,Oxford
E02005947,E02005950,56,0,0,0,8,0,0,4,0,22,22,0,Oxford,Oxford
E02005947,E02005952,61,0,0,0,21,0,1,30,1,6,2,0,Oxford,Oxford
E02005947,E02005953,18,0,0,0,6,0,0,5,3,3,1,0,Oxford,Oxford
E02005947,E02005954,56,0,0,0,23,0,0,18,2,13,0,0,Oxford,Oxford
E02005947,E02005955,41,0,0,0,12,0,0,20,0,8,1,0,Oxford,Oxford
E02005947,E02005979,32,0,0,0,9,1,0,12,0,9,1,0,Oxford,Oxford
E02005948,E02005940,13,0,0,0,1,0,0,4,1,6,1,0,Oxford,Oxford
E02005948,E02005941,48,0,0,0,10,0,0,11,2,21,4,0,Oxford,Oxford
E02005948,E02005942,49,0,0,0,8,0,0,5,0,23,13,0,Oxford,Oxford
E02005948,E02005945,128,0,0,0,46,0,1,24,4,40,12,1,Oxford,Oxford
E02005948,E02005946,19,0,0,0,6,0,0,9,1,2,1,0,Oxford,Oxford
E02005948,E02005947,945,0,0,7,37,0,1,54,6,288,552,0,Oxford,Oxford
E02005948,E02005948,297,0,0,7,7,0,3,26,2,35,215,2,Oxford,Oxford
E02005948,E02005949,100,0,0,2,22,0,0,23,1,44,8,0,Oxford,Oxford
E02005948,E02005950,53,0,0,0,10,0,0,14,0,21,8,0,Oxford,Oxford
E02005948,E02005952,90,0,0,0,26,0,2,38,3,17,4,0,Oxford,Oxford
E02005948,E02005954,89,0,0,0,26,0,0,36,2,22,3,0,Oxford,Oxford
E02005948,E02005955,27,0,0,0,8,0,0,12,0,6,1,0,Oxford,Oxford
E02005948,E02005978,13,0,0,0,7,0,0,3,0,3,0,0,Oxford,Oxford
E02005948,E02005979,59,0,0,0,4,1,0,13,2,16,23,0,Oxford,Oxford
E02005949,E02005941,21,0,0,0,8,0,1,7,0,1,4,0,Oxford,Oxford
E02005949,E02005942,36,0,0,0,16,0,1,5,2,11,1,0,Oxford,Oxford
E02005949,E02005945,504,0,0,1,78,0,1,62,23,87,250,2,Oxford,Oxford
E02005949,E02005946,48,0,0,0,7,0,1,16,0,11,13,0,Oxford,Oxford
E02005949,E02005947,510,0,0,0,271,4,8,49,7,97,72,2,Oxford,Oxford
E02005949,E02005948,74,0,0,0,22,0,0,27,4,14,7,0,Oxford,Oxford
E02005949,E02005949,402,0,0,1,22,0,1,36,7,54,279,2,Oxford,Oxford
E02005949,E02005950,100,0,0,0,26,1,0,28,0,13,32,0,Oxford,Oxford
E02005949,E02005952,205,0,0,0,27,0,2,93,5,55,23,0,Oxford,Oxford
E02005949,E02005954,69,0,0,0,13,1,0,27,5,14,9,0,Oxford,Oxford
E02005949,E02005955,65,0,0,0,10,1,1,43,2,6,2,0,Oxford,Oxford
E02005949,E02005956,34,0,0,1,4,0,0,15,3,8,3,0,Oxford,Oxford
E02005949,E02005957,16,0,0,0,2,0,0,8,0,4,2,0,Oxford,Oxford
E02005949,E02005979,12,0,0,0,3,0,1,7,0,0,1,0,Oxford,Oxford
E02005950,E02005940,31,0,0,0,12,0,0,9,0,8,2,0,Oxford,Oxford
E02005950,E02005941,49,0,0,0,11,0,0,16,2,14,6,0,Oxford,Oxford
E02005950,E02005942,61,0,0,0,13,0,0,17,0,24,7,0,Oxford,Oxford
E02005950,E02005943,16,0,0,0,2,0,0,4,0,5,5,0,Oxford,Oxford
E02005950,E02005945,285,0,0,0,59,0,0,42,10,98,76,0,Oxford,Oxford
E02005950,E02005946,34,0,0,0,12,0,1,13,1,3,4,0,Oxford,Oxford
E02005950,E02005947,1328,0,3,4,251,3,5,70,5,444,537,6,Oxford,Oxford
E02005950,E02005948,237,0,0,1,34,2,0,36,3,69,91,1,Oxford,Oxford
E02005950,E02005949,258,0,0,1,25,0,2,27,3,80,119,1,Oxford,Oxford
E02005950,E02005950,373,0,0,2,17,0,0,24,4,54,269,3,Oxford,Oxford
E02005950,E02005951,13,0,0,0,3,0,0,2,0,3,5,0,Oxford,Oxford
E02005950,E02005952,155,0,0,1,29,0,6,50,4,39,25,1,Oxford,Oxford
E02005950,E02005953,28,0,0,0,0,0,0,3,0,8,17,0,Oxford,Oxford
E02005950,E02005954,141,0,0,0,28,2,2,40,4,42,23,0,Oxford,Oxford
E02005950,E02005955,81,0,0,1,25,0,0,28,3,13,10,1,Oxford,Oxford
E02005950,E02005956,38,0,0,0,12,0,1,8,2,9,6,0,Oxford,Oxford
E02005950,E02005957,14,0,0,0,5,0,0,5,0,2,2,0,Oxford,Oxford
