Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02005943,E02005979,28,0,0,0,2,0,0,17,1,7,1,0,6540.691242223813,0.010369228430541368
E02005944,E02005940,14,0,0,0,4,0,0,4,2,4,0,0,6726.377847816223,0.0093988674034944791
E02005944,E02005941,43,0,0,0,12,0,0,13,1,14,3,0,6009.711445975989,0.009425536330609122
E02005944,E02005942,42,0,0,0,9,0,2,18,5,5,3,0,5962.717881228595,0.025722466753239578
E02005944,E02005943,21,0,0,0,3,0,0,9,1,3,5,0,3122.281890386662,0.02568166493033912
E02005944,E02005944,53,0,0,0,9,0,0,10,2,2,29,1,0,0.010364788589075384
E02005944,E02005945,524,0,0,0,100,2,4,94,25,75,224,0,1852.0800421284,0.011718875929167484
E02005944,E02005946,87,0,0,0,13,0,0,22,0,13,39,0,483.35788896147227,0.018829649168427116
E02005944,E02005947,468,0,0,0,247,0,9,90,15,72,35,0,5083.820697172958,0.011010432782694606
E02005944,E02005948,64,0,0,0,17,0,1,29,1,14,2,0,5842.630478868549,0.019989960718611022
E02005944,E02005949,197,0,0,1,38,0,1,46,10,59,42,0,1606.7438699995869,0.011656523194070229
E02005944,E02005950,73,0,0,0,24,0,2,32,3,5,7,0,3502.143932773781,0.015261508689264252
E02005944,E02005952,240,0,0,0,18,0,6,151,16,42,3,4,3115.156762160913,0.012147248206921611
E02005944,E02005953,14,0,0,0,1,0,1,11,0,0,1,0,4446.552032187213,0.016109236096736063
E02005944,E02005954,113,0,0,0,15,1,1,69,8,12,7,0,4630.600985907426,0.02093412517332166
E02005944,E02005955,51,0,0,0,4,0,2,36,2,5,2,0,5918.995848168398,0.01178332495328128
E02005944,E02005956,55,0,0,0,8,1,3,34,3,2,4,0,5259.328632462157,NaN
E02005944,E02005957,15,0,0,0,7,0,0,5,0,1,2,0,6415.384089601861,0.021110727277627056
E02005944,E02005979,28,0,0,0,10,0,0,12,3,1,2,0,8814.813607505625,0.012774160928603485
E02005945,E02005940,24,0,0,0,5,0,1,14,0,3,1,0,5665.276238427254,0.01309729984873188
E02005945,E02005941,59,0,0,0,12,0,0,28,4,12,3,0,4611.178481579489,0.013311863447116478
E02005945,E02005942,62,0,0,0,12,0,0,26,8,15,1,0,4327.578845183181,0.013127036711943032
E02005945,E02005943,21,0,0,0,2,0,0,6,2,4,7,0,1371.292759043552,0.014370084113768802
E02005945,E02005944,13,0,0,0,2,0,0,2,0,4,5,0,1852.0800421283996,0.010667641865339101
E02005945,E02005945,1043,0,0,0,44,2,3,76,17,150,748,3,0,0.011477900914152371
E02005945,E02005946,56,0,0,0,7,0,0,28,1,7,13,0,2294.1800846820693,0.01800766168125659
E02005945,E02005947,784,0,1,2,296,2,6,73,20,277,107,0,3289.530653571587,0.01817287481138458
E02005945,E02005948,130,0,0,0,37,0,0,25,1,55,12,0,4048.34043526718,0.010514371315484845
E02005945,E02005949,390,0,0,3,10,1,0,51,8,107,210,0,1837.4374892769993,0.017850921836931183
E02005945,E02005950,111,0,0,0,18,0,0,41,5,20,27,0,1988.655565235823,0.009401266970971121
E02005945,E02005952,141,0,0,0,23,1,0,76,2,26,13,0,3201.8608643538146,0.017211414892437153
E02005945,E02005953,11,0,0,0,0,1,0,8,1,1,0,0,3167.1803412575964,0.015821785100994922
E02005945,E02005954,116,0,0,0,16,0,0,66,5,25,4,0,3949.075733837616,0.014208782045189336
E02005945,E02005955,67,0,0,0,7,1,0,42,1,13,3,0,5141.511538760704,0.019095563463822577
E02005945,E02005956,18,0,0,0,6,0,0,11,0,1,0,0,5811.763110756325,0.022983880587311697
E02005945,E02005979,37,0,0,0,8,0,0,16,0,12,1,0,7020.523563904258,0.01678542327512885
E02005946,E02005940,16,0,0,0,3,1,0,11,0,0,1,0,6690.851588766497,0.021110727277627056
E02005946,E02005941,50,0,0,0,6,1,1,24,3,13,2,0,5974.185186926263,NaN
E02005946,E02005942,47,0,0,0,10,0,1,24,0,7,4,1,5927.191622178869,0.016583909172453674
E02005946,E02005944,38,0,0,0,1,0,0,11,0,2,24,0,175.64139582071357,0.01467565065146629
E02005946,E02005945,604,0,0,1,64,1,1,120,28,157,230,2,2027.7214379491136,0.014974748007490355
E02005946,E02005946,156,0,0,1,6,0,0,43,4,13,88,1,0,0.0153154834166994
E02005946,E02005947,562,0,0,0,268,0,6,93,7,153,34,1,5259.462092993672,0.015119674882510429
E02005946,E02005948,114,0,0,0,32,1,1,38,1,37,4,0,6018.271874689263,NaN
E02005946,E02005949,321,0,0,0,30,0,5,59,9,105,113,0,1704.155761743365,0.010733476582223112
E02005946,E02005950,102,0,0,0,25,0,2,44,7,15,9,0,3677.785328594495,0.017265237795617117
E02005946,E02005951,11,0,0,0,1,0,2,7,0,1,0,0,5735.6162736338,0.019863349087962744
E02005946,E02005952,270,0,0,0,12,0,5,164,16,59,13,1,3104.9026361101696,0.013256715841645362
E02005946,E02005953,16,0,0,0,2,0,1,10,0,3,0,0,4647.749706600241,0.029370518963671533
E02005946,E02005954,108,0,0,0,12,0,0,60,8,26,2,0,4648.892499339156,0.014614606806220771
E02005946,E02005955,83,0,0,0,3,0,1,54,6,17,2,0,5802.111206724649,0.019479361421613876
E02005946,E02005956,44,0,0,1,7,0,1,24,2,6,3,0,5142.443991018407,0.018423549251453463
E02005946,E02005979,37,0,0,0,5,0,1,29,0,2,0,0,8990.455003326339,0.010978534609969642
E02005947,E02005941,38,0,0,0,5,0,0,5,0,16,12,0,3625.4738618564493,0.020184283475962343
E02005947,E02005942,57,0,0,0,12,0,0,0,0,25,20,0,2046.7052910346285,0.02497622224412879
E02005947,E02005945,131,0,0,1,49,0,3,31,3,35,9,0,3269.9816024538445,0.01794906610014051
E02005947,E02005946,17,0,0,0,5,0,0,9,0,3,0,0,5506.371688608885,0.025722896368299584
E02005947,E02005947,1225,0,1,8,44,1,1,32,7,347,781,3,0,0.010667641865339101
E02005947,E02005948,142,0,0,1,4,0,0,5,0,28,104,0,948.1657344901281,0.02204498958348138
E02005947,E02005949,83,0,1,1,22,0,0,12,0,30,17,0,4433.251075694298,0.011901115956124288
E02005947,E02005950,56,0,0,0,8,0,0,4,0,22,22,0,2137.6097015758005,0.013590173237284741
E02005947,E02005952,61,0,0,0,21,0,1,30,1,6,2,0,4536.8207135739785,0.013437540535673316
E02005947,E02005953,18,0,0,0,6,0,0,5,3,3,1,0,2742.155138309264,0.014688252637309673
E02005947,E02005954,56,0,0,0,23,0,0,18,2,13,0,0,4477.111172542205,0.010733458053823088
E02005947,E02005955,41,0,0,0,12,0,0,20,0,8,1,0,5079.405858282252,NaN
E02005947,E02005979,32,0,0,0,9,1,0,12,0,9,1,0,3920.348863127204,0.01779849133990382
E02005948,E02005940,13,0,0,0,1,0,0,4,1,6,1,0,4393.121536086058,0.01798134352698011
E02005948,E02005941,48,0,0,0,10,0,0,11,2,21,4,0,3965.744814153785,0.010486032831866417
E02005948,E02005942,49,0,0,0,8,0,0,5,0,23,13,0,2511.158945823522,0.01757215509462183
E02005948,E02005945,128,0,0,0,46,0,1,24,4,40,12,1,4154.9949184340985,0.014442096422851908
E02005948,E02005946,19,0,0,0,6,0,0,9,1,2,1,0,5997.729887258226,0.01441973200080584
E02005948,E02005947,945,0,0,7,37,0,1,54,6,288,552,0,965.2940389824485,0.015857836051428376
E02005948,E02005948,297,0,0,7,7,0,3,26,2,35,215,2,0,0.014213863583674727
E02005948,E02005949,100,0,0,2,22,0,0,23,1,44,8,0,5052.9672853396005,0.018960536290457675
E02005948,E02005950,53,0,0,0,10,0,0,14,0,21,8,0,2757.325911221104,0.02276859304609483
E02005948,E02005952,90,0,0,0,26,0,2,38,3,17,4,0,5156.536923219281,0.01663456065454729
E02005948,E02005954,89,0,0,0,26,0,0,36,2,22,3,0,4959.955143591376,0.02568166493033912
E02005948,E02005955,27,0,0,0,8,0,0,12,0,6,1,0,5697.058568602439,0.017058835510575448
E02005948,E02005978,13,0,0,0,7,0,0,3,0,3,0,0,3484.875019266675,0.016396315846984238
E02005948,E02005979,59,0,0,0,4,1,0,13,2,16,23,0,2985.8873262606376,0.014688513296094313
E02005949,E02005941,21,0,0,0,8,0,1,7,0,1,4,0,6411.962769016407,0.008177172688310233
E02005949,E02005942,36,0,0,0,16,0,1,5,2,11,1,0,6128.3631326200975,0.009427296299601966
E02005949,E02005945,504,0,0,1,78,0,1,62,23,87,250,2,1837.4374892769997,0.006615745863460528
E02005949,E02005946,48,0,0,0,7,0,1,16,0,11,13,0,1954.8254021493874,0.017265237795617117
E02005949,E02005947,510,0,0,0,271,4,8,49,7,97,72,2,4477.7191241944765,0.01779852198559988
E02005949,E02005948,74,0,0,0,22,0,0,27,4,14,7,0,5091.089402704706,NaN
E02005949,E02005949,402,0,0,1,22,0,1,36,7,54,279,2,0,0.01540515418063031
E02005949,E02005950,100,0,0,0,26,1,0,28,0,13,32,0,2556.217807943685,0.017474720929301468
E02005949,E02005952,205,0,0,0,27,0,2,93,5,55,23,0,1511.0942402065618,0.011831381275406259
E02005949,E02005954,69,0,0,0,13,1,0,27,5,14,9,0,3024.1383521538955,0.015750045885385488
E02005949,E02005955,65,0,0,0,10,1,1,43,2,6,2,0,4081.8335220166405,0.014000598283324589
E02005949,E02005956,34,0,0,1,4,0,0,15,3,8,3,0,3970.8514722475365,0.015404882021129569
E02005949,E02005957,16,0,0,0,2,0,0,8,0,4,2,0,5126.906929387239,0.011641543112028292
E02005949,E02005979,12,0,0,0,3,0,1,7,0,0,1,0,8034.661797198291,0.019441480161428853
E02005950,E02005940,31,0,0,0,12,0,0,9,0,8,2,0,5802.955060236189,0.027752054733787654
E02005950,E02005941,49,0,0,0,11,0,0,16,2,14,6,0,5046.818915028514,0.014211744590243783
E02005950,E02005942,61,0,0,0,13,0,0,17,0,24,7,0,3796.8097674820933,0.010364802285120631
E02005950,E02005943,16,0,0,0,2,0,0,4,0,5,5,0,2332.3414521843774,0.01800766168125659
E02005950,E02005945,285,0,0,0,59,0,0,42,10,98,76,0,1988.6555652358231,0.011579009601194365
E02005950,E02005946,34,0,0,0,12,0,1,13,1,3,4,0,3935.1631439876087,0.012655548883321316
E02005950,E02005947,1328,0,3,4,251,3,5,70,5,444,537,6,2130.335674222998,0.010066664202343414
