Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,city_origin,city_dest
E02005182,E02005185,83,0,0,0,8,0,1,48,6,0,20,0,Burnley,Burnley
E02005182,E02005186,94,0,0,1,8,4,0,60,15,2,3,1,Burnley,Burnley
E02005182,E02006881,110,0,0,0,7,3,0,37,17,0,46,0,Burnley,Burnley
E02005183,E02005176,102,0,0,0,3,0,1,79,10,2,7,0,Burnley,Burnley
E02005183,E02005177,150,0,0,0,9,6,0,86,22,6,21,0,Burnley,Burnley
E02005183,E02005178,473,0,0,0,64,9,3,242,53,6,94,2,Burnley,Burnley
E02005183,E02005179,48,0,0,0,5,0,0,39,4,0,0,0,Burnley,Burnley
E02005183,E02005180,18,0,0,0,3,0,0,15,0,0,0,0,Burnley,Burnley
E02005183,E02005181,33,0,0,0,1,1,0,25,5,0,1,0,Burnley,Burnley
E02005183,E02005182,133,0,0,0,9,3,0,59,17,2,43,0,Burnley,Burnley
E02005183,E02005183,62,0,0,0,4,1,0,27,6,0,24,0,Burnley,Burnley
E02005183,E02005185,78,0,0,0,6,1,0,58,5,1,7,0,Burnley,Burnley
E02005183,E02005186,118,0,0,0,3,2,1,85,18,1,6,2,Burnley,Burnley
E02005183,E02006881,91,0,0,0,6,3,1,53,13,0,15,0,Burnley,Burnley
E02005185,E02005176,80,0,0,0,19,2,1,41,11,1,5,0,Burnley,Burnley
E02005185,E02005177,115,0,0,0,21,3,0,66,10,4,10,1,Burnley,Burnley
E02005185,E02005178,453,0,0,1,81,8,1,174,39,1,143,5,Burnley,Burnley
E02005185,E02005179,70,0,0,0,7,0,0,44,8,2,9,0,Burnley,Burnley
E02005185,E02005180,29,0,0,1,8,2,0,8,1,0,9,0,Burnley,Burnley
E02005185,E02005181,57,0,0,0,1,0,1,33,7,0,15,0,Burnley,Burnley
E02005185,E02005182,97,0,0,0,22,1,0,40,14,1,19,0,Burnley,Burnley
E02005185,E02005183,13,0,0,0,0,3,0,8,0,0,2,0,Burnley,Burnley
E02005185,E02005185,259,0,0,2,14,4,1,92,23,0,121,2,Burnley,Burnley
E02005185,E02005186,236,0,0,2,10,2,3,111,27,2,79,0,Burnley,Burnley
E02005185,E02006881,115,0,0,1,8,6,2,44,10,0,44,0,Burnley,Burnley
E02005186,E02005176,61,0,0,0,0,0,1,50,6,2,1,1,Burnley,Burnley
E02005186,E02005177,105,0,0,1,8,0,0,88,5,0,3,0,Burnley,Burnley
E02005186,E02005178,355,0,0,1,50,5,4,235,38,4,18,0,Burnley,Burnley
E02005186,E02005179,150,0,0,0,6,0,0,91,16,6,31,0,Burnley,Burnley
E02005186,E02005180,20,0,0,0,1,1,0,12,4,0,2,0,Burnley,Burnley
E02005186,E02005181,54,0,0,0,1,0,0,37,6,1,9,0,Burnley,Burnley
E02005186,E02005182,57,0,0,1,2,0,2,44,7,0,1,0,Burnley,Burnley
E02005186,E02005183,12,0,0,0,0,0,0,12,0,0,0,0,Burnley,Burnley
E02005186,E02005185,131,0,0,1,1,0,1,104,13,1,10,0,Burnley,Burnley
E02005186,E02005186,228,0,0,0,3,1,0,168,15,7,34,0,Burnley,Burnley
E02005186,E02006881,68,0,0,0,5,1,0,48,7,2,5,0,Burnley,Burnley
E02006881,E02005176,84,0,0,0,8,4,1,48,10,5,7,1,Burnley,Burnley
E02006881,E02005177,178,0,0,0,21,1,2,117,21,3,13,0,Burnley,Burnley
E02006881,E02005178,703,0,0,2,67,15,7,332,78,4,198,0,Burnley,Burnley
E02006881,E02005179,83,0,0,0,3,3,1,59,12,1,4,0,Burnley,Burnley
E02006881,E02005180,19,0,1,0,1,0,0,15,1,0,1,0,Burnley,Burnley
E02006881,E02005181,51,0,0,0,6,0,1,29,2,0,12,1,Burnley,Burnley
E02006881,E02005182,161,0,0,0,13,1,0,81,15,6,44,1,Burnley,Burnley
E02006881,E02005183,26,0,0,0,1,0,0,16,3,0,6,0,Burnley,Burnley
E02006881,E02005185,215,0,0,0,11,6,1,129,13,2,52,1,Burnley,Burnley
E02006881,E02005186,275,0,0,1,18,2,4,178,41,9,20,2,Burnley,Burnley
E02006881,E02006881,271,0,0,0,9,4,0,119,19,0,120,0,Burnley,Burnley
