Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope
E02005182,E02005176,79,0,0,0,5,1,0,45,12,1,15,0,4189.4880560476,0.02127187205570946
E02005182,E02005177,129,0,0,1,11,3,0,66,13,5,30,0,3152.9812021724247,0.029063354045606837
E02005182,E02005178,429,0,0,1,45,8,1,135,40,7,189,3,1929.5165040611466,0.038673305501133175
E02005182,E02005179,42,0,0,0,11,0,0,23,4,1,3,0,6412.960183607827,0.02793247311170173
E02005182,E02005180,14,0,0,0,3,0,0,9,2,0,0,0,3926.921815556755,0.033494386096396274
E02005182,E02005181,23,0,0,0,1,4,0,13,4,0,1,0,3448.0331786332968,0.026428512775338295
E02005182,E02005182,139,0,0,0,3,0,0,39,7,1,88,1,0,0.014329916361192104
E02005182,E02005183,25,0,0,0,2,0,0,7,1,1,14,0,1099.6859436156178,0.014303446538542397
E02005182,E02005185,83,0,0,0,8,0,1,48,6,0,20,0,3509.5192623202415,0.021536351246152406
E02005182,E02005186,94,0,0,1,8,4,0,60,15,2,3,1,5920.490852568694,0.02323453074734847
E02005182,E02006881,110,0,0,0,7,3,0,37,17,0,46,0,2663.346314419639,0.02127216055167777
E02005183,E02005176,102,0,0,0,3,0,1,79,10,2,7,0,3818.0342622131134,NaN
E02005183,E02005177,150,0,0,0,9,6,0,86,22,6,21,0,2769.3483779821777,0.04814221486169976
E02005183,E02005178,473,0,0,0,64,9,3,242,53,6,94,2,2564.4102337909,0.030560716636605305
E02005183,E02005179,48,0,0,0,5,0,0,39,4,0,0,0,7241.426839792933,0.024080391809922795
E02005183,E02005180,18,0,0,0,3,0,0,15,0,0,0,0,4755.388471741861,0.05298509102873852
E02005183,E02005181,33,0,0,0,1,1,0,25,5,0,1,0,4276.4998348184,0.03548368372311199
E02005183,E02005182,133,0,0,0,9,3,0,59,17,2,43,0,1099.6859436156176,0.026705199854704827
E02005183,E02005183,62,0,0,0,4,1,0,27,6,0,24,0,0,0.024426462259960903
E02005183,E02005185,78,0,0,0,6,1,0,58,5,1,7,0,4136.6593288446575,0.02586109125007622
E02005183,E02005186,118,0,0,0,3,2,1,85,18,1,6,2,6748.957508753799,0.029617900108042744
E02005183,E02006881,91,0,0,0,6,3,1,53,13,0,15,0,3571.9442951921437,0.029063787925724078
E02005185,E02005176,80,0,0,0,19,2,1,41,11,1,5,0,5948.788523921017,0.04814221486169976
E02005185,E02005177,115,0,0,0,21,3,0,66,10,4,10,1,4651.742438739229,NaN
E02005185,E02005178,453,0,0,1,81,8,1,174,39,1,143,5,3599.4630913223114,0.036239368459485714
E02005185,E02005179,70,0,0,0,7,0,0,44,8,2,9,0,4178.498413857474,0.028409904890645165
E02005185,E02005180,29,0,0,1,8,2,0,8,1,0,9,0,1990.840750631747,0.05346193820751009
E02005185,E02005181,57,0,0,0,1,0,1,33,7,0,15,0,1437.718897019704,0.032303292632650665
E02005185,E02005182,97,0,0,0,22,1,0,40,14,1,19,0,3518.5002037830136,0.028559537790487675
E02005185,E02005183,13,0,0,0,0,3,0,8,0,0,2,0,4061.400282590659,0.032975979104840895
E02005185,E02005185,259,0,0,2,14,4,1,92,23,0,121,2,0,0.025179266379484835
E02005185,E02005186,236,0,0,2,10,2,3,111,27,2,79,0,3186.6855971360287,0.03599925410332356
E02005185,E02006881,115,0,0,1,8,6,2,44,10,0,44,0,1297.7106915367435,0.03867345824216242
E02005186,E02005176,61,0,0,0,0,0,1,50,6,2,1,1,7797.566825581877,0.030560716636605305
E02005186,E02005177,105,0,0,1,8,0,0,88,5,0,3,0,6500.520740400091,0.036239368459485714
E02005186,E02005178,355,0,0,1,50,5,4,235,38,4,18,0,5448.241392983171,NaN
E02005186,E02005179,150,0,0,0,6,0,0,91,16,6,31,0,2173.4477025839233,0.030666011237987085
E02005186,E02005180,20,0,0,0,1,1,0,12,4,0,2,0,2716.17753839478,0.046646997961356226
