geo_code1,geo_code2,all,bicycle,foot,dist,slope
E02000001,E02000174,260,26,10,5.78,1.73
E02000001,E02000175,715,27,1,9.73,1.61
E02000001,E02000176,586,16,2,7.68,1.55
E02000001,E02000177,311,26,8,6.19,1.49
E02000001,E02000178,434,18,2,10.2,1.65
E02000001,E02000179,359,18,6,7.25,1.52
E02000001,E02000180,295,34,20,4.95,1.55
E02000001,E02000181,663,27,3,8.88,1.57
E02000001,E02000182,386,12,2,7.83,1.48
E02000001,E02000183,386,48,7,6.25,1.28
E02000001,E02000184,200,21,21,4.85,1.65
E02000001,E02000185,223,13,0,9.13,1.55
E02000001,E02000186,282,24,14,5.11,1.11
E02000001,E02000187,133,6,14,4.11,1.17
E02000001,E02000188,147,9,14,4.91,1.49
E02000001,E02000189,155,20,51,2.51,1.15
E02000001,E02000190,184,17,59,3.13,1.12
E02000001,E02000191,283,25,60,3.76,1.57
E02000001,E02000192,493,27,331,1.79,1.68
E02000001,E02000193,562,27,221,2.24,1.34
E02000001,E02000194,190,16,0,14.1,1.48
E02000001,E02000195,163,9,1,13.8,1.49
E02000001,E02000196,108,2,1,15.3,1.32
E02000001,E02000197,125,5,1,15.4,1.34
E02000001,E02000198,85,2,0,15,1.56
E02000001,E02000199,113,3,1,15.4,1.61
E02000001,E02000200,131,0,0,16,1.71
E02000001,E02000201,140,2,0,16.8,1.77
E02000001,E02000202,99,0,0,16.8,1.26
E02000001,E02000203,76,1,1,17,1.26
E02000001,E02000204,93,1,2,16.7,1.27
E02000001,E02000206,96,0,2,17.9,1.23
E02000001,E02000207,137,0,1,17.9,1.79
E02000001,E02000208,87,1,0,18.2,1.22
E02000001,E02000209,69,1,3,18.2,1.22
E02000001,E02000210,150,3,0,18.9,1.62
E02000001,E02000211,137,2,1,19.8,1.21
E02000001,E02000212,60,0,3,18.5,1.21
E02000001,E02000213,139,2,6,19.3,1.18
E02000001,E02000214,129,0,1,19.2,1.73
E02000001,E02000215,352,3,1,20,1.16
E02000001,E02000242,55,1,0,18.6,1.15
E02000001,E02000244,102,0,0,19.8,1.17
E02000001,E02000248,150,1,0,16.7,1.19
E02000001,E02000250,172,8,1,18.4,1.23
E02000001,E02000252,202,2,3,15,1.28
E02000001,E02000255,161,6,3,19.1,1.13
E02000001,E02000256,285,7,1,18.4,1.03
E02000001,E02000257,519,8,1,16.8,1.06
E02000001,E02000258,137,5,0,14.9,1.11
E02000001,E02000261,205,7,2,13.7,1.14
E02000001,E02000262,158,7,2,14.7,1.19
E02000001,E02000264,242,3,2,16.3,1.06
E02000001,E02000265,175,11,0,19.8,1.16
E02000001,E02000268,252,11,4,18,1.19
E02000001,E02000269,222,11,1,19,1.18
E02000001,E02000270,87,1,0,15.6,1.18
E02000001,E02000271,306,17,2,14.1,1.18
E02000001,E02000272,102,1,1,19.4,1.16
E02000001,E02000276,158,5,0,17.8,1.2
E02000001,E02000279,142,1,2,19.5,0.67
E02000001,E02000280,128,1,1,19,0.65
E02000001,E02000281,92,0,1,18.5,0.65
E02000001,E02000282,67,0,1,19.1,0.72
E02000001,E02000283,65,0,0,18.9,0.68
E02000001,E02000284,206,5,0,18.2,0.64
E02000001,E02000285,122,1,2,18.3,0.62
E02000001,E02000286,254,2,1,18.6,0.83
E02000001,E02000287,160,2,2,18.6,1.54
E02000001,E02000288,83,1,2,17.4,0.74
