Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001834,E02001834,77,0,0,1,5,0,2,30,5,2,31,1,0,0.020220387750536698,0.025974025974025976,0.02137605014224833,1.215099412715638,2,4,0.05194805194805195,0,NA,NA
E02001834,E02001837,18,0,0,0,4,0,0,6,2,0,6,0,1166.8327236636574,0.01445000125541877,0,0.08931350259862217,0,2,2,0.1111111111111111,1.1668327236636573,1-2 km,0-2 km
E02001834,E02001839,86,0,0,0,5,0,0,37,7,0,37,0,1352.745949434077,0.022466158259673408,0,0.0936726978862398,0,8,8,0.09302325581395349,1.352745949434077,1-2 km,0-2 km
E02001834,E02001840,15,0,0,0,3,1,0,9,0,0,1,1,2427.8710853906196,0.01619777880001494,0,0.10811467501897555,0,2,2,0.13333333333333333,2.4278710853906196,2-3 km,2-4 km
E02001834,E02001843,42,0,0,0,9,0,0,23,4,0,6,0,2277.072587605911,0.018968307420634753,0,0.1070256688474642,0,4,4,0.09523809523809523,2.277072587605911,2-3 km,2-4 km
E02001834,E02001845,15,0,0,0,1,0,0,12,1,0,1,0,2470.985331116367,0.022024317198771508,0,0.10812280954780062,0,2,2,0.13333333333333333,2.470985331116367,2-3 km,2-4 km
E02001834,E02001848,29,0,0,0,6,0,0,19,2,1,1,0,2875.028462198565,0.017521774225934532,0.034482758620689655,0.10954841946140538,0.31477184965537686,3,4,0.13793103448275862,2.875028462198565,2-3 km,2-4 km
E02001834,E02001849,18,0,0,0,6,0,0,12,0,0,0,0,5235.7647593077945,0.01869492692811592,0,0.0967656657677112,0,2,2,0.1111111111111111,5.235764759307795,5-6 km,4-6 km
E02001834,E02001850,24,0,0,0,7,0,0,14,3,0,0,0,4751.124336243681,0.02814905240663414,0,0.10065367891661554,0,2,2,0.08333333333333333,4.751124336243681,4-5 km,4-6 km
E02001834,E02001851,13,0,0,0,2,0,0,10,1,0,0,0,8168.661368253824,0.017976401169411252,0,0.06820290346028285,0,1,1,0.07692307692307693,8.168661368253824,8-9 km,8-10 km
E02001834,E02001854,35,0,0,0,10,0,0,21,2,2,0,0,7209.227449370621,0.01863728857877397,0.05714285714285714,0.07734141864842459,0.7388390094396221,3,5,0.14285714285714285,7.209227449370621,7-8 km,6-8 km
E02001834,E02001855,29,0,0,0,5,0,0,21,3,0,0,0,9816.56272556988,0.01869718761754632,0,0.054323348126616246,0,2,2,0.06896551724137931,9.81656272556988,9-10 km,8-10 km
E02001834,E02001856,17,0,0,0,5,0,0,12,0,0,0,0,5506.667880038918,0.018461408704534252,0,0.09423075337559729,0,2,2,0.11764705882352941,5.506667880038918,5-6 km,4-6 km
E02001834,E02001857,33,0,0,0,8,0,0,21,2,1,1,0,6700.758316671887,0.018909298924100666,0.030303030303030304,0.082387500870815,0.36781101481092343,3,4,0.12121212121212122,6.7007583166718865,6-7 km,6-8 km
