MSOA11CD,MSOA11NM,TCITY15CD,city,FID
E02002085,Solihull 005,J01000007,Birmingham,2231
E02002086,Solihull 006,J01000007,Birmingham,2308
E02002087,Solihull 007,J01000007,Birmingham,2309
E02002088,Solihull 008,J01000007,Birmingham,2310
E02002148,Walsall 039,J01000007,Birmingham,2317
E02006807,Birmingham 132,J01000007,Birmingham,6428
E02006809,Birmingham 133,J01000007,Birmingham,6444
E02006895,Birmingham 134,J01000007,Birmingham,6483
E02006896,Birmingham 135,J01000007,Birmingham,6484
E02006897,Birmingham 136,J01000007,Birmingham,6485
E02006898,Birmingham 137,J01000007,Birmingham,6486
E02006899,Birmingham 138,J01000007,Birmingham,6487
E02006900,Birmingham 139,J01000007,Birmingham,6488
E02006901,Birmingham 140,J01000007,Birmingham,6489
E02006698,Bromsgrove 003,J01000007,Birmingham,6650
E02006699,Bromsgrove 004,J01000007,Birmingham,6651
E02002089,Solihull 009,J01000007,Birmingham,7180
E02006700,Bromsgrove 005,J01000007,Birmingham,7190
