Area of residence,Area of workplace,All categories: Method of travel to work,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,dist,slope,perc_cycle,prob_cycle,performance,cycle_added_weighted,potential_demand,cycle_fraction,dist2,distance_groups,distance_groups_comb
E02001041,E02006902,244,0,89,1,44,0,1,77,19,8,5,0,6998.847781745371,0.01699018276328381,0.03278688524590164,0.039459720782788386,0.8308950138390915,9,17,0.06967213114754098,6.998847781745371,6-7 km,6-8 km
E02001041,E02006912,138,0,49,2,22,1,3,51,2,8,0,0,8437.3156763805855,0.01824443880156472,0.057971014492753624,0.030562395313857498,1.8968086073563941,4,12,0.08695652173913043,8.437315676380585,8-9 km,8-10 km
E02001041,E02006913,45,0,7,0,8,0,0,23,5,0,2,0,5145.456364695613,0.01299380726606484,0,0.058536090209384065,0,3,3,0.06666666666666667,5.145456364695613,5-6 km,4-6 km
E02001041,E02006914,33,0,14,0,6,0,0,11,1,1,0,0,9905.757777169389,0.01856442707128809,0.030303030303030304,0.024405782550567155,1.2416332170560171,1,2,0.06060606060606061,9.905757777169388,9-10 km,8-10 km
E02001041,E02006915,35,0,0,0,3,0,0,29,1,2,0,0,4897.8228718081655,0.01383282566325941,0.05714285714285714,0.05803643914171216,0.9846030870937293,2,4,0.11428571428571428,4.897822871808166,4-5 km,4-6 km
E02001041,E02006917,81,0,35,0,11,0,1,30,3,1,0,0,9018.879765657008,0.02397176138467421,0.012345679012345678,0.02192348668810901,0.5631257102476223,2,3,0.037037037037037035,9.018879765657008,9-10 km,8-10 km
E02001042,E02001041,47,0,0,0,3,4,0,18,2,0,20,0,1655.1681727946664,0.02786444681920698,0,0.03714494230760136,0,2,2,0.0425531914893617,1.6551681727946663,1-2 km,0-2 km
E02001042,E02001042,135,0,8,1,7,1,0,55,4,2,57,0,0,0.02256885677913477,0.014814814814814815,0.01218434349079509,1.215889458960753,2,4,0.02962962962962963,0,NA,NA
E02001042,E02001043,30,0,0,0,1,0,0,17,3,0,9,0,983.5909983296772,0.02128614435635424,0,0.04119592448622826,0,1,1,0.03333333333333333,0.9835909983296772,0-1 km,0-2 km
E02001042,E02001044,41,0,1,0,3,0,0,21,3,2,11,0,1258.358656137087,0.01922091644812112,0.04878048780487805,0.04758183077550781,1.025191486116319,2,4,0.0975609756097561,1.2583586561370872,1-2 km,0-2 km
E02001042,E02001045,16,0,0,0,1,0,0,13,0,1,1,0,4288.106061457573,0.01633641526935261,0.0625,0.05552206525927546,1.1256785875694495,1,2,0.125,4.288106061457572,4-5 km,4-6 km
E02001042,E02001050,36,0,3,0,1,0,0,28,3,1,0,0,4988.224647803336,0.02038114641692929,0.027777777777777776,0.043986388728635556,0.6315084866172289,2,3,0.08333333333333333,4.988224647803336,4-5 km,4-6 km
E02001042,E02001052,58,0,3,0,5,1,0,43,4,1,1,0,3891.365845860214,0.02025588690363546,0.017241379310344827,0.04898010986679976,0.3520077712612803,3,4,0.06896551724137931,3.891365845860214,3-4 km,2-4 km
